coach,champion
Adolph Rupp,4
Al McGuire,1
Bill Self,1
Billy Donovan,2
Bob Knight,3
Branch McCracken,2
Bud Foster,1
Dean Smith,2
Denny Crum,2
Doggie Julian,1
Don Haskins,1
Ed Jucker,2
Everett Dean,1
Everett Shelton,1
Frank McGuire,1
Fred Taylor,1
Gary Williams,1
George Ireland,1
Henry Iba,2
Howard Hobson,1
Jay Wright,2
Jerry Tarkanian,1
Jim Boeheim,1
Jim Calhoun,3
Jim Harrick,1
Jim Valvano,1
Joe Hall,1
John Calipari,1
John Thompson,1
John Wooden,10
Jud Heathcote,1
Ken Loeffler,1
Kevin Ollie,1
Larry Brown,1
Lute Olson,1
Mike Krzyzewski,5
Nat Holman,1
Nolan Richardson,1
Norm Sloan,1
Pete Newell,1
Phil Woolpert,2
Phog Allen,1
Rick Pitino,2
Rollie Massimino,1
Roy Williams,3
Steve Fisher,1
Tom Izzo,1
Tubby Smith,1
Vadal Peterson,1
