,year,champion,coach,score,total_points,winners_points,losers_points,runner_up,site,record,season_wins,season_losses,win_percentage
0,2018,Villanova ,Jay Wright,79-62,141,79,62,Michigan,"San Antonio, Tex.",36-4,36,4,90
1,2017,North Carolina ,Roy Williams,71-65,136,71,65,Gonzaga,"Phoenix, Ariz.",33-7,33,7,82
2,2016,Villanova ,Jay Wright,77-74,151,77,74,North Carolina,"Houston, Texas",35-5,35,5,88
3,2015,Duke ,Mike Krzyzewski,68-63,131,68,63,Wisconsin,"Indianapolis, Ind.",35-4,35,4,90
4,2014,Connecticut ,Kevin Ollie,60-54,114,60,54,Kentucky,"Arlington, Texas",32-8,32,8,80
5,2013,Louisville ,Rick Pitino,82-76,158,82,76,Michigan,"Atlanta, Ga.",35-5,35,5,88
6,2012,Kentucky ,John Calipari,67-59,126,67,59,Kansas,"New Orleans, La.",38-2,38,2,95
7,2011,Connecticut ,Jim Calhoun,53-41,94,53,41,Butler,"Houston, Texas",32-9,32,9,78
8,2010,Duke ,Mike Krzyzewski,61-59,120,61,59,Butler,"Indianapolis, Ind.",35-5,35,5,88
9,2009,North Carolina ,Roy Williams,89-72,161,89,72,Michigan State,"Detroit, Mich.",34-4,34,4,89
10,2008,Kansas ,Bill Self,75-68,143,75,68,Memphis,"San Antonio, Texas",37-3,37,3,92
11,2007,Florida ,Billy Donovan,84-75,159,84,75,Ohio State,"Atlanta, Ga.",35-5,35,5,88
12,2006,Florida ,Billy Donovan,73-57,130,73,57,UCLA,"Indianapolis, Ind.",33-6,33,6,85
13,2005,North Carolina ,Roy Williams,75-70,145,75,70,Illinois,"St. Louis, Mo.",33-4,33,4,89
14,2004,Connecticut ,Jim Calhoun,82-73,155,82,73,Georgia Tech,"San Antonio, Texas",33-6,33,6,85
15,2003,Syracuse ,Jim Boeheim,81-78,159,81,78,Kansas,"New Orleans, La.",30-5,30,5,86
16,2002,Maryland ,Gary Williams,64-52,116,64,52,Indiana,"Atlanta, Ga.",32-4,32,4,89
17,2001,Duke ,Mike Krzyzewski,82-72,154,82,72,Arizona,"Minneapolis, Minn.",35-4,35,4,90
18,2000,Michigan State ,Tom Izzo,89-76,165,89,76,Florida,"Indianapolis, Ind.",32-7,32,7,82
19,1999,Connecticut ,Jim Calhoun,77-74,151,77,74,Duke,"St. Petersburg, Fla.",34-2,34,2,94
20,1998,Kentucky ,Tubby Smith,78-69,147,78,69,Utah,"San Antonio, Texas",35-4,35,4,90
21,1997,Arizona ,Lute Olson,84-79,163,84,79,Kentucky,"Indianapolis, Ind.",25-9,25,9,74
22,1996,Kentucky ,Rick Pitino,76-67,143,76,67,Syracuse,"East Rutherford, N.J.",34-2,34,2,94
23,1995,UCLA ,Jim Harrick,89-78,167,89,78,Arkansas,"Seattle, Wash.",31-2,31,2,94
24,1994,Arkansas ,Nolan Richardson,76-72,148,76,72,Duke,"Charlotte, N.C.",31-3,31,3,91
25,1993,North Carolina ,Dean Smith,77-71,148,77,71,Michigan,"New Orleans, La.",34-4,34,4,89
26,1992,Duke ,Mike Krzyzewski,71-51,122,71,51,Michigan,"Minneapolis, Minn.",34-2,34,2,94
27,1991,Duke ,Mike Krzyzewski,72-65,137,72,65,Kansas,"Indianapolis, Ind.",32-7,32,7,82
28,1990,UNLV ,Jerry Tarkanian,103-73,176,103,73,Duke,"Denver, Colo.",35-5,35,5,88
29,1989,Michigan ,Steve Fisher,80-79,159,80,79,Seton Hall,"Seattle, Wash.",30-7,30,7,81
30,1988,Kansas ,Larry Brown,83-79,162,83,79,Oklahoma,"Kansas City, Mo.",27-11,27,11,71
31,1987,Indiana ,Bob Knight,74-73,147,74,73,Syracuse,"New Orleans, La.",30-4,30,4,88
32,1986,Louisville ,Denny Crum,72-69,141,72,69,Duke,"Dallas, Texas",32-7,32,7,82
33,1985,Villanova ,Rollie Massimino,66-64,130,66,64,Georgetown,"Lexington, Ky,",25-10,25,10,71
34,1984,Georgetown ,John Thompson,84-75,159,84,75,Houston,"Seattle, Wash.",34-3,34,3,92
35,1983,North Carolina State ,Jim Valvano,54-52,106,54,52,Houston,"Albuquerque, N.M.",26-10,26,10,72
36,1982,North Carolina ,Dean Smith,63-62,125,63,62,Georgetown,"New Orleans, La.",32-2,32,2,94
37,1981,Indiana ,Bob Knight,63-50,113,63,50,North Carolina,"Philadelphia, Pa.",26-9,26,9,74
38,1980,Louisville ,Denny Crum,59-54,113,59,54,UCLA,"Indianapolis, Ind.",33-3,33,3,92
39,1979,Michigan State ,Jud Heathcote,75-64,139,75,64,Indiana State,"Salt Lake City, Utah",26-6,26,6,81
40,1978,Kentucky ,Joe Hall,94-88,182,94,88,Duke,"St. Louis, Mo.",30-2,30,2,94
41,1977,Marquette ,Al McGuire,67-59,126,67,59,North Carolina,"Atlanta, Ga.",25-7,25,7,78
42,1976,Indiana ,Bob Knight,86-68,154,86,68,Michigan,"Philadelphia, Pa.",32-0,32,0,100
43,1975,UCLA ,John Wooden,92-85,177,92,85,Kentucky,"San Diego, Calif.",28-3,28,3,90
44,1974,North Carolina State ,Norm Sloan,76-64,140,76,64,Marquette,"Greensboro, N.C.",30-1,30,1,97
45,1973,UCLA ,John Wooden,87-66,153,87,66,Memphis State,"St. Louis, Mo.",30-0,30,0,100
46,1972,UCLA ,John Wooden,81-76,157,81,76,Florida State,"Los Angeles, Calif.",30-0,30,0,100
47,1971,UCLA ,John Wooden,68-62,130,68,62,Villanova,"Houston, Texas",29-1,29,1,97
48,1970,UCLA ,John Wooden,80-69,149,80,69,Jacksonville,"College Park, Md.",28-2,28,2,93
49,1969,UCLA ,John Wooden,92-72,164,92,72,Purdue,"Louisville, Ky.",29-1,29,1,97
50,1968,UCLA ,John Wooden,78-55,133,78,55,North Carolina,"Los Angeles, Calif.",29-1,29,1,97
51,1967,UCLA ,John Wooden,79-64,143,79,64,Dayton,"Louisville, Ky.",30-0,30,0,100
52,1966,UTEP ,Don Haskins,72-65,137,72,65,Kentucky,"College Park, Md.",28-1,28,1,97
53,1965,UCLA ,John Wooden,91-80,171,91,80,Michigan,"Portland, Ore.",28-2,28,2,93
